OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000181,Sample-Routine,Water,Surface Water,1990-01-10,12:30:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03600088,HG RR W/ 10X DLTN. ORIG. VALUE BAD,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Lead,Recoverable,1.0,ug/l,,Historical,,Actual,,,,,,,01051,,,,,,GF100,USGS,"Lead, wu, GF-AAS","USGS OF 93-125, p 87",,,,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001132,Sample-Routine,Water,Surface Water,1990-01-10,10:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05593505,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001132,Sample-Routine,Water,Surface Water,1990-01-10,10:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05593505,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-CT,USGS Connecticut Water Science Center,nwisma.01.99000268,Sample-Routine,Water,Surface Water,1990-01-08,12:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01198550,,,"Stable, normal stage",Under ice cover,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,1,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001326,Sample-Routine,Water,Surface Water,1990-01-08,11:30:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05438201,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001326,Sample-Routine,Water,Surface Water,1990-01-08,11:30:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05438201,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.99000050,Sample-Routine,Water,Surface Water,1990-01-09,14:45:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-04045500,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,1,ug/l,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.99000112,Sample-Routine,Water,Surface Water,1990-01-08,14:00:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-06918600,BAD,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Lead,Dissolved,10,ug/l,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001196,Sample-Routine,Water,Surface Water,1990-01-08,09:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05599565,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001196,Sample-Routine,Water,Surface Water,1990-01-08,09:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05599565,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001182,Sample-Routine,Water,Surface Water,1990-01-03,09:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05597500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001182,Sample-Routine,Water,Surface Water,1990-01-03,09:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05597500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001052,Sample-Routine,Water,Surface Water,1990-01-03,10:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05580000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001052,Sample-Routine,Water,Surface Water,1990-01-03,10:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05580000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000894,Sample-Routine,Water,Surface Water,1990-01-09,09:30:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05540290,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000894,Sample-Routine,Water,Surface Water,1990-01-09,09:30:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05540290,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-AR,USGS Arkansas Water Science Center,nwisar.01.99000751,Sample-Routine,Water,Surface Water,1990-01-10,14:05:00,CST,,,,11,feet,,,,,,,"USGS-District Water-Quality Lab, Little Rock, Arkansas",USGS-07049200,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,1,ug/l,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99000192,Sample-Routine,Water,Surface Water,1990-01-10,11:00:00,PST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12400520,,,"Stable, normal stage",Regulated flow,USGS,USGS,USGS,Unknown,,Lead,Dissolved,2,ug/l,,Historical,,Actual,,,,,,,01049,,,,,,GF089,USGS,"Lead, wf, GF-AAS","USGS OF 93-125, p 87",,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99000819,Sample-Routine,Water,Surface Water,1990-01-02,12:20:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0214632815,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,2,ug/l,,NWIS
USGS-NY,USGS New York Water Science Center,nwisny.01.99001805,Sample-Routine,Water,Bulk deposition,1990-01-02,16:40:00,EST,1990-02-02,08:50:59,EST,,,,,,,,,"Monroe County Health Department, New York",USGS-430117077350101,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Detected Not Quantified,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Lower Quantitation Limit,100,ug/l,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.99000621,Not determined,Water,Groundwater,1990-01-09,11:30:00,EST,,,,,,,,,,,,,USGS-405533078222602,,,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,4,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99003534,Sample-Routine,Water,Surface Water,1990-01-03,10:30:00,CST,,,,,,,,,,,,USGS - Illinois Water Science Center,USGS-05570000,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Accepted,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99003534,Sample-Routine,Water,Surface Water,1990-01-03,10:30:00,CST,,,,,,,,,,,,USGS - Illinois Water Science Center,USGS-05570000,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Accepted,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.99000132,Sample-Routine,Water,Surface Water,1990-01-03,13:45:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07375050,,,Falling stage,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.99000154,Sample-Routine,Water,Surface Water,1990-01-09,11:00:00,MST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-06313400,,,"Stable, normal stage",Under ice cover,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,GF089,USGS,"Lead, wf, GF-AAS","USGS OF 93-125, p 87",,,,Historical Lower Reporting Limit,1,ug/l,,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000182,Sample-Routine,Water,Surface Water,1990-01-10,10:30:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03600086,HG RR W/ 10X DLTN. ORIG. VALUE BAD.,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Lead,Recoverable,1.0,ug/l,,Historical,,Actual,,,,,,,01051,,,,,,GF100,USGS,"Lead, wu, GF-AAS","USGS OF 93-125, p 87",,,,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000713,Sample-Routine,Water,Surface Water,1990-01-03,11:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-03341920,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000713,Sample-Routine,Water,Surface Water,1990-01-03,11:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-03341920,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-CT,USGS Connecticut Water Science Center,nwisma.01.99000275,Sample-Routine,Water,Surface Water,1990-01-09,09:45:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01208049,,,"Stable, normal stage",Regulated flow,USGS,USGS,USGS,Unknown,Detected Not Quantified,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Lower Quantitation Limit,100,ug/l,,NWIS
USGS-CT,USGS Connecticut Water Science Center,nwisma.01.99000275,Sample-Routine,Water,Surface Water,1990-01-09,09:45:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01208049,,,"Stable, normal stage",Regulated flow,USGS,USGS,USGS,Unknown,,Lead,Recoverable,1.0,ug/l,,Historical,,Actual,,,,,,,01051,,,,,,GF100,USGS,"Lead, wu, GF-AAS","USGS OF 93-125, p 87",,,,,,,,NWIS
USGS-CT,USGS Connecticut Water Science Center,nwisma.01.99000256,Sample-Routine,Water,Surface Water,1990-01-08,14:30:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01188000,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,1,ug/l,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99000198,Sample-Routine,Water,Surface Water,1990-01-10,17:24:00,PST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12500450,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Accepted,,Actual,,,,,,,01049,,,,,,GF078,USGS,"Lead, LIS, GFAAS","USGS TWRI 5-A1/1989, p 249",,,,Historical Lower Reporting Limit,0.5,ug/l,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99000198,Sample-Routine,Water,Surface Water,1990-01-10,17:24:00,PST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12500450,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Lead,Suspended,15,mg/kg,,Accepted,,Actual,Dry,,,,,,29836,,,,,,,,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.99000123,Sample-Routine,Water,Groundwater,1990-01-09,14:45:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-384039090430901,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000786,Sample-Routine,Water,Surface Water,1990-01-10,13:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05420100,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000786,Sample-Routine,Water,Surface Water,1990-01-10,13:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05420100,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.99000108,Sample-Routine,Water,Surface Water,1990-01-08,09:45:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-05514500,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.99000625,Not determined,Water,Groundwater,1990-01-09,10:00:00,EST,,,,,,,,,,,,,USGS-405525078224201,,,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,4,ug/l,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.99000102,Sample-Routine,Water,Surface Water,1990-01-10,09:15:00,MST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-320648106400510,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Lead,Dissolved,10,ug/l,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,,,,,NWIS
USGS-OK,USGS Oklahoma Water Science Center,nwisok.01.99000317,Sample-Routine,Water,Surface Water,1990-01-09,11:15:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07331000,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.99000153,Sample-Routine,Water,Surface Water,1990-01-09,13:45:00,MST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-06313500,,,"Stable, normal stage",Under ice cover,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,GF089,USGS,"Lead, wf, GF-AAS","USGS OF 93-125, p 87",,,,Historical Lower Reporting Limit,1,ug/l,,NWIS
USGS-SD,USGS South Dakota Water Science Center,nwissd.01.99000098,Sample-Routine,Water,Surface Water,1990-01-09,14:00:00,MST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-06438000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,GF089,USGS,"Lead, wf, GF-AAS","USGS OF 93-125, p 87",,,,Historical Lower Reporting Limit,1,ug/l,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99000193,Sample-Routine,Water,Surface Water,1990-01-10,11:30:00,PST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12479500,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Accepted,,Actual,,,,,,,01049,,,,,,GF078,USGS,"Lead, LIS, GFAAS","USGS TWRI 5-A1/1989, p 249",,,,Historical Lower Reporting Limit,0.5,ug/l,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99000193,Sample-Routine,Water,Surface Water,1990-01-10,11:30:00,PST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12479500,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Lead,Recoverable,2.0,ug/l,,Accepted,,Actual,,,,,,,01051,,,,,,GF100,USGS,"Lead, wu, GF-AAS","USGS OF 93-125, p 87",,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99000193,Sample-Routine,Water,Surface Water,1990-01-10,11:30:00,PST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12479500,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Lead,Suspended,12,mg/kg,,Accepted,,Actual,Dry,,,,,,29836,,,,,,,,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,nwisny.01.99001803,Sample-Routine,Water,Wet Fall Material,1990-01-02,16:40:00,EST,1990-02-02,08:50:59,EST,,,,,,,,,"Monroe County Health Department, New York",USGS-430117077350101,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Detected Not Quantified,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Lower Quantitation Limit,100,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000762,Sample-Routine,Water,Surface Water,1990-01-02,10:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-03382100,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000762,Sample-Routine,Water,Surface Water,1990-01-02,10:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-03382100,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001200,Sample-Routine,Water,Surface Water,1990-01-08,11:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05600150,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001200,Sample-Routine,Water,Surface Water,1990-01-08,11:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05600150,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000235,Sample-Routine,Water,Surface Water,1990-01-03,12:00:00,CST,,,,,,,,,,,,USGS - Illinois Water Science Center,USGS-05446500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000235,Sample-Routine,Water,Surface Water,1990-01-03,12:00:00,CST,,,,,,,,,,,,USGS - Illinois Water Science Center,USGS-05446500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-1990DATA-108926-9000153C,Sample-Routine,Water,,1990-01-10,17:00:00,MST,,,,,,,,,,,350,,UTAHDWQ_WQX-4951400,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),Not Detected,Lead,Acid Soluble,,ug/l,,Final,,Actual,,,,,,,,,,,,,GENERIC METHOD,UTAHDWQ_WQX,Used for all methods where historical methodology may not be available.,,Utah DOH Division of Epidemilogy and Laboratory Services,,,Method Detection Level,5,ug/l,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-1990DATA-108798-9000139C,Sample-Routine,Water,,1990-01-09,16:30:00,MST,,,,,,,,,,,350,,UTAHDWQ_WQX-4949450,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),Not Detected,Lead,Acid Soluble,,ug/l,,Final,,Actual,,,,,,,,,,,,,GENERIC METHOD,UTAHDWQ_WQX,Used for all methods where historical methodology may not be available.,,Utah DOH Division of Epidemilogy and Laboratory Services,,,Method Detection Level,5,ug/l,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-1990DATA-109818-9000085C,Sample-Routine,Water,,1990-01-10,12:50:00,MST,,,,,,,,,,,350,,UTAHDWQ_WQX-4994600,,,,,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),Not Detected,Lead,Acid Soluble,,ug/l,,Final,,Actual,,,,,,,,,,,,,GENERIC METHOD,UTAHDWQ_WQX,Used for all methods where historical methodology may not be available.,,Utah DOH Division of Epidemilogy and Laboratory Services,,,Method Detection Level,5,ug/l,,STORET
AZDEQ_SW,AZDEQ_SW,AZDEQ_SW-SW-5170.CHEM,Sample-Routine,Water,Surface Water,1990-01-09,09:30:00,MST,,,,,,,,,,,7988,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_SW-964,Approved status:  24-APR-02 12:00:00--- SAMPLE TAKEN: Migrated,,,,Unknown,AZDEQ_SW,Unknown,Miscellaneous (Other),Not Detected,Lead,Dissolved,,,,Final,,Estimated,,,,,,,,,,,,,UNKNOWN,AZDEQ_SW,UNKNOWN,,ARIZONA STATE LAB,,,Laboratory Reporting Level,10,ug/l,,STORET
